Assigned to,id,name,address1,zip,country,latitude,longitude,phone,Yelp URL of Business,City Page,Notes,Yelp search URL
MW,71259,CRÈME BRULEE TO GO,801 MARKET ST,94103,US,,,,http://www.yelp.com/biz/the-cr%C3%A8me-br%C3%BBl%C3%A9e-cart-wesfield-shopping-centre-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:71259,,"http://www.yelp.com/search?find_desc=CRÈME BRULEE TO GO#find_loc=801 MARKET ST,sf"
Partha,67472,ALSTON FARMS,3861 24TH ST,94114,US,,,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:67472,,"http://www.yelp.com/search?find_desc=ALSTON FARMS#find_loc=3861 24TH ST,sf"
MW,70014,KETTLE CORN STAR,PUBLIC RIGHT OF WAY,,US,,,,http://www.yelp.com/biz/kettle-corn-star-san-leandro,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:70014,,"http://www.yelp.com/search?find_desc=KETTLE CORN STAR#find_loc=PUBLIC RIGHT OF WAY,sf"
SS,4718,MAY FLOWER MKT.,2498 FILLMORE ST,94115,US,37.792455,-122.434474,,http://www.yelp.com/biz/mayflower-market-san-francisco-2,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:4718,,"http://www.yelp.com/search?find_desc=MAY FLOWER MKT.#find_loc=2498 FILLMORE ST,sf"
LD,5335,STEVE'S  MOBILE  DELI,674 ORANGE AVENUE,94945,US,,,14155896221,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5335,,"http://www.yelp.com/search?find_desc=STEVE'S  MOBILE  DELI#find_loc=674 ORANGE AVENUE,sf"
,65053,PARA BELLUM VERDE,1051 MARKET ST,94103,US,37.781301,-122.411392,,para-bellum-verde-san-francisco,,,
,69324,LAS BRISAS,3137 MISSION ST,94110,US,37.747173,-122.418804,,las-brisas-de-acapulco-san-francisco,,,
AG,65019,,291 3RD AVE,,US,37.783528,-122.461393,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65019,,"http://www.yelp.com/search?find_desc=#find_loc=291 3RD AVE,sf"
SS,4678,ANDRE-BOUDIN BAKERIES,399 10TH AVE,94118,US,37.781139,-122.468635,,http://www.yelp.com/biz/boudin-san-francisco#query:ANDRE-BOUDIN%20BAKERIES,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:4678,,"http://www.yelp.com/search?find_desc=ANDRE-BOUDIN BAKERIES#find_loc=399 10TH AVE,sf"
JE,5627,AT&T - SAY HEY SAUSAGE-ROOM 5319 [145157],24 WILLIE MAYS PLAZA 5.15.01,94107,US,37.778382,-122.391151,14155971500,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5627,,"http://www.yelp.com/search?find_desc=AT&T - SAY HEY SAUSAGE-ROOM 5319 [145157]#find_loc=24 WILLIE MAYS PLAZA 5.15.01,sf"
luther,69304,SENOR SISIG 2,OFF THE GRID,,US,0,0,,http://www.yelp.com/biz/senor-sisig-san-francisco#query:SENOR%20SISIG%202,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:69304,,"http://www.yelp.com/search?find_desc=SENOR SISIG 2#find_loc=OFF THE GRID,sf"
JE,5552,WILDLIFE CONNECTION ESPRESSO CART,1 ZOO RD,94132,US,37.73017,-122.502535,14155757080,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5552,,"http://www.yelp.com/search?find_desc=WILDLIFE CONNECTION ESPRESSO CART#find_loc=1 ZOO RD,sf"
JE,5694,CP - ROOM 335,CANDLESTICK PARK  335,94124,US,37.712613,-122.387477,14155468570,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5694,,"http://www.yelp.com/search?find_desc=CP - ROOM 335#find_loc=CANDLESTICK PARK  335,sf"
JE,5855,SOTO (SCHOOL OF THE ARTS),555 PORTOLA DR,94131,US,37.745674,-122.45085,14155695700,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5855,,"http://www.yelp.com/search?find_desc=SOTO (SCHOOL OF THE ARTS)#find_loc=555 PORTOLA DR,sf"
,68483,EL TOMATE RESTAURANT,2904 24TH ST,94110,US,37.752777,-122.410262,,el-tomate-restaurant-san-francisco-2,,,
,1579,NICK'S LIGHTHOUSE,ST 5,94133,US,37.802479,-122.411234,,nicks-lighthouse-san-francisco,,,
AG,65924,NICK BERNARD FOODS,OFF THE GRID,,US,0,0,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65924,,"http://www.yelp.com/search?find_desc=NICK BERNARD FOODS#find_loc=OFF THE GRID,sf"
,64581,CREPERIE SAINT GERMAIN,222 02ND ST,94105,US,37.786528,-122.397979,,creperie-saint-germain-san-francisco,,,
LD,37633,100% DESSERT CAFÉ,2512 CLEMENT ST,94121,US,37.781988,-122.486252,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:37633,,"http://www.yelp.com/search?find_desc=100% DESSERT CAFÉ#find_loc=2512 CLEMENT ST,sf"
,3432,MARRIOTT FISHERMAN'S WHARF,1250 COLUMBUS AVE,94133,US,37.805554,-122.417684,,san-francisco-marriott-fishermans-wharf-san-francisco,,,
JN,69023,Y & Y VIRTNAMESE RESTAURANT,914 CLEMENT ST,94118,US,37.782776,-122.46889,,http://www.yelp.com/biz/y-and-y-vietnamese-cuisine-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:69023,,"http://www.yelp.com/search?find_desc=Y & Y VIRTNAMESE RESTAURANT#find_loc=914 CLEMENT ST,sf"
,5885,SPRING VALLEY ELEMENTARY SCHOOL,1451 JACKSON ST,94109,US,37.794434,-122.418857,,spring-valley-elementary-school-san-francisco,,,
JN,68928,"GOURMET CATERING SF, LLC",1582 FOLSOM ST.,94103,US,37.77107,-122.414936,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68928,,"http://www.yelp.com/search?find_desc=GOURMET CATERING SF, LLC#find_loc=1582 FOLSOM ST.,sf"
JN,69096,L'ACAJOU,1899 WALLER ST,94117,US,,,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:69096,,"http://www.yelp.com/search?find_desc=L'ACAJOU#find_loc=1899 WALLER ST,sf"
,2051,COCOTTE,1521 HYDE ST,94109,US,37.794753,-122.418184,,cocotte-san-francisco,,,
JE,5681,CP - PRESS CLUB (UP LV),CANDLESTICK PARK  4 LEV,94124,US,37.712613,-122.387477,14155332424,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5681,,"http://www.yelp.com/search?find_desc=CP - PRESS CLUB (UP LV)#find_loc=CANDLESTICK PARK  4 LEV,sf"
,38146,SAN PANCHO'S TACOS,500 BAYSHORE ST,,US,,,14155335152,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:38146,,"http://www.yelp.com/search?find_desc=SAN PANCHO'S TACOS#find_loc=500 BAYSHORE ST,sf"
JE,5755,J & J VENDING,VARIOUS LOACATIONS (17),94545,US,,,14150670910,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5755,,"http://www.yelp.com/search?find_desc=J & J VENDING#find_loc=VARIOUS LOACATIONS (17),sf"
,67782,JARRED LLC,2948 FOLSOM ST,,US,37.750134,-122.413935,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:67782,,"http://www.yelp.com/search?find_desc=JARRED LLC#find_loc=2948 FOLSOM ST,sf"
SY,64727,THE SOUTHERN SANDWICH CO.,OFF THE GRID,,US,37.777122,-122.419639,,http://www.yelp.com/biz/the-southern-sandwich-co-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:64727,,"http://www.yelp.com/search?find_desc=THE SOUTHERN SANDWICH CO.#find_loc=OFF THE GRID,sf"
AG,66206,FINS ON THE HOOF/SAVEURS,OFF THE GRID,,US,37.777122,-122.419639,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:66206,,"http://www.yelp.com/search?find_desc=FINS ON THE HOOF/SAVEURS#find_loc=OFF THE GRID,sf"
AG,65829,CHAMBERS EAT + DRINK,601 EDDY ST,94109,US,37.783194,-122.418096,,http://www.yelp.com/biz/chambers-eat-drink-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65829,,"http://www.yelp.com/search?find_desc=CHAMBERS EAT + DRINK#find_loc=601 EDDY ST,sf"
AG,66334,EC MART,395 ASHTON AVE,94112,US,37.725195,-122.46234,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:66334,,"http://www.yelp.com/search?find_desc=EC MART#find_loc=395 ASHTON AVE,sf"
SM,12788,LA TERRA,511 HARRISON STREET,94105,US,37.785856,-122.393158,,terra-gallery-and-event-venue-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:12788,,"http://www.yelp.com/search?find_desc=LA TERRA#find_loc=511 HARRISON STREET,sf"
,18102,KIM SON RESTAURANT,3614 BALBOA ST,94121,US,37.775728,-122.497701,,kim-son-vietnamese-restaurant-san-francisco,,,
,66794,CP - ROOM D18,CANDLESTICK PARK,94124,US,37.712613,-122.387477,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:66794,,"http://www.yelp.com/search?find_desc=CP - ROOM D18#find_loc=CANDLESTICK PARK,sf"
JN,67864,RECCHIUTI CHOCOLATE LAB,801 22ND ST,94107,US,,,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:67864,,"http://www.yelp.com/search?find_desc=RECCHIUTI CHOCOLATE LAB#find_loc=801 22ND ST,sf"
JE,5907,LILIENTHAL ELEMENTARY SCHOOL,3630 DIVISADERO ST,94118,US,37.803537,-122.443547,14155743516,http://www.yelp.com/biz/claire-lilienthal-elementary-schools-san-francisco-2,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5907,,"http://www.yelp.com/search?find_desc=LILIENTHAL ELEMENTARY SCHOOL#find_loc=3630 DIVISADERO ST,sf"
,68016,ING DIRECT,101 POST ST,94108,US,37.788843,-122.403908,,capital-one-360-café-san-francisco-san-francisco,,,
AG,5093,CHILDREN'S CREATIVITY CAFÉ,221 04TH ST,94103,US,37.782977,-122.402237,,http://www.yelp.com/biz/childrens-creativity-museum-san-francisco-3,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5093,,"http://www.yelp.com/search?find_desc=CHILDREN'S CREATIVITY CAFÉ#find_loc=221 04TH ST,sf"
,66955,MANDARIN ORIENTAL SF - EMPLOYEE CAFETERIA,"222 SANSOME ST, BASEMENT",94104,US,37.792556,-122.400906,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:66955,,"http://www.yelp.com/search?find_desc=MANDARIN ORIENTAL SF - EMPLOYEE CAFETERIA#find_loc=222 SANSOME ST, BASEMENT,sf"
JE,5915,ST. ANTHONY'S ELEMENTARY,299 PRECITA AVE,94110,US,37.747249,-122.413607,,http://www.yelp.com/biz/st-anthonys-immaculate-conception-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5915,,"http://www.yelp.com/search?find_desc=ST. ANTHONY'S ELEMENTARY#find_loc=299 PRECITA AVE,sf"
Partha,67607,THE POP NATION,OFF THE GRID,,US,,,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:67607,,"http://www.yelp.com/search?find_desc=THE POP NATION#find_loc=OFF THE GRID,sf"
,4202,SOUND FACTORY,525 HARRISON ST,94105,US,37.785614,-122.39346,14155249646,the-sound-factory-san-francisco,,,
,795,BEN & JERRY'S,PIER 41,94133,US,37.808494,-122.412,,ben-and-jerrys-san-francisco-7,,,
,37252,ANTOJITOS SAN MIGUEL,2000 MISSION,94110,US,37.765001,-122.419732,,antojitos-san-miguel-san-francisco,,,
,63657,KUNG FU TACOS,451 MONTGOMERY ST,,US,37.793614,-122.402864,,kung-fu-tacos-san-francisco-2,,,
,69251,LA BOULANGE DU DOME,845 MARKET ST SUITE 406,94103,US,37.784848,-122.406892,,la-boulange-du-dome-san-francisco,,,
,33926,CARBON,383 BAY ST,94133,US,37.805615,-122.413274,14155378888,carbon-san-francisco,,,
SM,13838,JUDAHLICIOUS JUICE,3906 JUDAH ST,94122,US,37.760528,-122.503991,,judahlicious-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:13838,,"http://www.yelp.com/search?find_desc=JUDAHLICIOUS JUICE#find_loc=3906 JUDAH ST,sf"
,7493,MR. PICKLE'S SANDWICH SHOP,3380 20TH ST,94110,US,37.758817,-122.416522,,mr-pickles-sandwich-shop-san-francisco,,,
SY,6282,TRAVEL TRADERS #708,1300 COLUMBUS AVE,94133,US,,,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:6282,,"http://www.yelp.com/search?find_desc=TRAVEL TRADERS #708#find_loc=1300 COLUMBUS AVE,sf"
,62988,COLOSSEO RISTORANTE & BAR ITALIANO,414 COLUMBUS AVE,94133,US,37.798905,-122.408114,,colosseo-ristorante-and-bar-italiano-san-francisco,,,
,66979,THE HUMMUS GUY,1 UNITED NATIONS PLAZA,94102,US,,,,the-hummus-guy-san-francisco-2,,,
JN,68984,OLD WORLD FOOD TRUCK,OFF THE GRID,,US,0,0,,http://www.yelp.com/biz/old-world-food-truck-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68984,,"http://www.yelp.com/search?find_desc=OLD WORLD FOOD TRUCK#find_loc=OFF THE GRID,sf"
,4292,BAMBOO HUT,479  ST,94133,US,37.798006,-122.405162,,bamboo-hut-san-francisco,,,
,70824,STANZA COFFEE,3126 16TH ST,94103,US,,,14155302538,stanza-coffee-san-francisco,,,
RB,18581,AMC THEATRES METREON 15 - IMAX STAND,101 04TH ST 3/F,94103,US,37.784548,-122.40419,,http://www.yelp.com/biz/amc-metreon-16-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:18581,,"http://www.yelp.com/search?find_desc=AMC THEATRES METREON 15 - IMAX STAND#find_loc=101 04TH ST 3/F,sf"
HRY,7471,S & P CONCESSIONS - MENDOCINO,FERRY PLAZA - PIER 1,94111,US,37.794404,-122.39303,,Unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:7471,,"http://www.yelp.com/search?find_desc=S & P CONCESSIONS - MENDOCINO#find_loc=FERRY PLAZA - PIER 1,sf"
,70034,IL CANTO CAFÉ,275 BATTERY ST,94111,US,,,,il-canto-cafe-san-francisco-3,,,
,67894,DOCTOR'S LOUNGE,4826 MISSION ST,94112,US,37.720872,-122.437796,,doctors-lounge-san-francisco,,,
SM,11896,CP - BEER CARTS," CANDLESTICK PK UL, SEC. 58-60",94124,US,37.712613,-122.387477,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:11896,,"http://www.yelp.com/search?find_desc=CP - BEER CARTS#find_loc= CANDLESTICK PK UL, SEC. 58-60,sf"
AG,65895,SANGUCHON,1601 MARIPOSA ST,94107,US,37.763625,-122.399719,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65895,,"http://www.yelp.com/search?find_desc=SANGUCHON#find_loc=1601 MARIPOSA ST,sf"
luther,69330,STATE MARKET LIQUOR #6,1231 GENEVA AVE,94112,US,37.713987,-122.435639,14155335505,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:69330,,"http://www.yelp.com/search?find_desc=STATE MARKET LIQUOR #6#find_loc=1231 GENEVA AVE,sf"
,8847,VILLAGE MARKET,1 FERRY BUILDING #29,94111,US,37.795225,-122.39377,,village-market-san-francisco-2,,,
,65139,WO CHONG,863 WASHINGTON ST,94108,US,37.795004,-122.407606,,wo-chong-company-san-francisco-3,,,
JE,5696,CP - ROOM 360 SPECIALTY STAND,CANDLESTICK PARK  360,94124,US,37.712613,-122.387477,14155468570,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5696,,"http://www.yelp.com/search?find_desc=CP - ROOM 360 SPECIALTY STAND#find_loc=CANDLESTICK PARK  360,sf"
JE,5695,CP - ROOM 346-H,CANDLESTICK PARK  346H,94124,US,37.712613,-122.387477,14155468570,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5695,,"http://www.yelp.com/search?find_desc=CP - ROOM 346-H#find_loc=CANDLESTICK PARK  346H,sf"
,67069,BUCAGO,761 POST ST,94109,US,37.787523,-122.414276,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:67069,,"http://www.yelp.com/search?find_desc=BUCAGO#find_loc=761 POST ST,sf"
,69856,TAJ,288 GOLDEN GATE AVE,94102,US,,,,taj-pizza-san-francisco,,,
LD,5348,SINGH BROS. ICE CREAM,600 MAYFAIR AVE,94080,US,,,14150871958,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5348,,"http://www.yelp.com/search?find_desc=SINGH BROS. ICE CREAM#find_loc=600 MAYFAIR AVE,sf"
,30143,ICON ULTRA LOUNGE,1192 FOLSOM ST,94103,US,37.775191,-122.409901,14155624800,icon-ultra-lounge-san-francisco-2,,,
JN,68839,WHISK ON WHEELS,OFF THE GRID,,US,0,0,,http://www.yelp.com/biz/whisk-on-wheels-burlingame-2,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68839,,"http://www.yelp.com/search?find_desc=WHISK ON WHEELS#find_loc=OFF THE GRID,sf"
,70155,THE CRÈME BRULEE CART,865 MARKET ST,94103,US,,,,the-crème-brûlée-cart-wesfield-shopping-centre-san-francisco,,,
,59328,SANTORINI MEDITERRANEAN CUISINE,242 O'FARRELL ST,94102,US,37.786365,-122.408964,,santorinis-mediterranean-cuisine-san-francisco,,,
AG,65582,PACIFIC STREET FISH MARKET,1199 STOCKTON ST #E,94133,US,37.796583,-122.408413,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65582,,"http://www.yelp.com/search?find_desc=PACIFIC STREET FISH MARKET#find_loc=1199 STOCKTON ST #E,sf"
LD,5283,JEJE'S PUSHCART,1377 FELL ST,94117,US,37.773713,-122.440037,14155601627,http://www.yelp.com/biz/jejes-hot-dogs-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5283,,"http://www.yelp.com/search?find_desc=JEJE'S PUSHCART#find_loc=1377 FELL ST,sf"
SM,11835,BARRETTE CAFETERIA,3250 19TH AVE,,US,37.729631,-122.47459,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:11835,,"http://www.yelp.com/search?find_desc=BARRETTE CAFETERIA#find_loc=3250 19TH AVE,sf"
,66791,CP - LEMONADE CART,CANDLESTICK PARK,94124,US,37.712613,-122.387477,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:66791,,"http://www.yelp.com/search?find_desc=CP - LEMONADE CART#find_loc=CANDLESTICK PARK,sf"
,3019,TAD'S,120 POWELL ST,94102,US,37.785928,-122.407887,,tads-enterprises-san-francisco,,,
,68042,YUMMY YUMMY,758 PACIFIC AVE,94133,US,37.796828,-122.407804,,yummy-yummy-san-francisco-2,,,
AG,65093,THE HUE DE LAROQUE FARM,3251 20TH AVE,94132,US,,,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65093,,"http://www.yelp.com/search?find_desc=THE HUE DE LAROQUE FARM#find_loc=3251 20TH AVE,sf"
,6012,SUNSET SENIOR CENTER,2601 40TH AVE,94116,US,37.738334,-122.497977,,sunset-senior-center-san-francisco,,,
,67131,AMERICAN BOX AT THE CJM,736 MISSION ST,94103,US,37.785566,-122.402984,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:67131,,"http://www.yelp.com/search?find_desc=AMERICAN BOX AT THE CJM#find_loc=736 MISSION ST,sf"
MW,70184,KITCHEN STORY CAFÉ,3499 16TH ST,94114,US,,,14155939663,http://www.yelp.com/biz/kitchen-story-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:70184,,"http://www.yelp.com/search?find_desc=KITCHEN STORY CAFÉ#find_loc=3499 16TH ST,sf"
Partha,68261,MV PISCES,PIER 41,94133,US,37.808494,-122.412,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68261,,"http://www.yelp.com/search?find_desc=MV PISCES#find_loc=PIER 41,sf"
,59681,CREPE & BRIOCHE INC,270 NOE ST,94114,US,,,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:59681,,"http://www.yelp.com/search?find_desc=CREPE & BRIOCHE INC#find_loc=270 NOE ST,sf"
,64338,HI TOPS,2247 MARKET ST,94114,US,,,14155552500,hi-tops-san-francisco,,,
LD,34332,CALIFORNIA SPIRIT,PIER 40 EMBARCADERO,94107,US,37.757923,-122.393914,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:34332,,"http://www.yelp.com/search?find_desc=CALIFORNIA SPIRIT#find_loc=PIER 40 EMBARCADERO,sf"
